Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	NoncycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161551.18	Patient24	0	0	0	8	9	12	0	29	0	1661		17459.36183022276		25.0		41351.1939429237		56432.168021848614	SRSF6	0.0	41.0		0.7073170731707317	-0.14285714285714285	1.6625431975416274	0.575741988045379						
PB.161551.18	Patient25	0	0	0	82	85	90	0	257	0	1946		132065.77595066803		2.0		41351.1939429237		56432.168021848614	SRSF6	0.0	346.0		0.7427745664739884	-0.02857142857142857	0.6074963887586712	-0.1607349892782341						
PB.161551.18	Patient26	0	0	0	33	39	42	0	114	0	1469		77603.81211708646		10.0		41351.1939429237		56432.168021848614	SRSF6	0.0	201.0		0.5671641791044776	-0.037037037037037035	0.6614787730274236	-0.1244335122697758						
PB.161551.18	Patient27	0	0	0	6	6	14	0	26	0	1439		18068.102849200834		24.0		41351.1939429237		56432.168021848614	SRSF6	0.0	45.0		0.5777777777777777	-0.4	4.752114118850596	2.6533824866111297	1.0	1.0	1.0	1.0	1.0	
PB.161551.18	Patient28	0	0	0	20	21	23	0	64	0	1202		53244.59234608985		13.0		41351.1939429237		56432.168021848614	SRSF6	0.0	165.0		0.3878787878787879	-0.045454545454545456	0.68532726676405	-0.10839614084215564						
PB.161551.18	Patient29	0	0	0	4	6	8	0	18	0	1857		9693.053311793215		29.0		41351.1939429237		56432.168021848614	SRSF6	0.0	35.0		0.5142857142857142	-0.14285714285714285	1.3804329763361853	0.38603162516190004						
PB.161551.18	Patient3	0	0	0	42	45	44	0	131	0	2019		64883.60574541853		11.0		41351.1939429237		56432.168021848614	SRSF6	0.0	172.0		0.7616279069767442	0.011235955056179775	0.20533812299414705	-0.43117393405939086						
PB.161551.18	Patient30	0	0	0	24	27	21	0	72	0	1808		39823.00884955752		17.0		41351.1939429237		56432.168021848614	SRSF6	0.0	127.0		0.5669291338582677	0.125	1.9431386027294422	0.7644336841993158						
PB.161551.18	Patient31	0	0	0	18	18	24	0	60	0	1858		32292.787944025833		20.0		41351.1939429237		56432.168021848614	SRSF6	0.0	125.0		0.48	-0.14285714285714285	2.1349730995581346	0.8934364259342147						
PB.161551.18	Patient4	0	0	0	25	24	25	0	74	0	1450		51034.482758620696		14.0		41351.1939429237		56432.168021848614	SRSF6	0.0	100.0		0.74	-0.02040816326530612	0.3177000937334153	-0.35561399811603406						
PB.161551.18	Patient5	0	0	0	93	87	90	0	270	0	1596		169172.93233082705		1.0		41351.1939429237		56432.168021848614	SRSF6	0.0	354.0		0.7627118644067796	-0.01694915254237288	0.36115596823068685	-0.32639127203021545						
PB.161551.18	Patient6	0	0	0	24	19	18	0	61	0	1602		38077.40324594257		18.0		41351.1939429237		56432.168021848614	SRSF6	0.0	77.0		0.7922077922077922	0.02702702702702703	0.38550257806078214	-0.3100189329986343						
PB.161551.18	Patient7	0	0	0	78	59	65	0	202	0	1726		117033.60370799537		5.0		41351.1939429237		56432.168021848614	SRSF6	0.0	262.0		0.7709923664122137	-0.04838709677419355	0.9562264975269917	0.10076594181110293						
PB.161551.18	Patient8	0	0	0	56	62	51	0	169	0	1359		124356.1442236939		3.0		41351.1939429237		56432.168021848614	SRSF6	0.0	217.0		0.7788018433179723	0.09734513274336283	1.8880997445389531	0.7274217612870786						
PB.161551.18	Patient9	0	0	0	0	0	0	0	0	0	1722		0.0		31.0		41351.1939429237		56432.168021848614	SRSF6	0.0	3.0		0.0		0.0	-0.5692574450381154						
PB.161551.19	Patient1	0	0	0	2	4	4	0	10	0	1717		5824.111822947		15.0		5559.416261292564		12344.236204445102	SRSF6	0.0	95.0		0.10526315789473684	0.0	0.0	0.0						
PB.161551.19	Patient10	0	0	0	0	0	0	0	0	0	1394		0.0		29.0		5559.416261292564		12344.236204445102	SRSF6	0.0	248.0		0.0		0.0	0.0						
PB.161551.19	Patient11	0	0	0	43	51	29	0	123	0	1367		89978.05413313826		1.0		5559.416261292564		12344.236204445102	SRSF6	0.0	299.0		0.411371237458194	0.275	5.016760492411892	3.1535990314572206	1.0	1.0	1.0	1.0	1.0	
PB.161551.19	Patient12	0	0	0	5	6	8	0	19	0	1791		10608.59854829704		11.0		5559.416261292564		12344.236204445102	SRSF6	0.0	223.0		0.08520179372197309	-0.14285714285714285	1.3804329763361853	0.8677576104639719					1.0	
PB.161551.19	Patient13	0	0	0	33	29	32	0	94	0	2218		42380.52299368801		2.0		5559.416261292564		12344.236204445102	SRSF6	0.0	387.0		0.24289405684754523	-0.04918032786885246	0.8154972823502045	0.5126318953566762						
PB.161551.19	Patient14	0	0	0	1	2	1	0	4	0	1708		2341.9203747072597		25.0		5559.416261292564		12344.236204445102	SRSF6	0.0	44.0		0.09090909090909091	0.3333333333333333	0.0	0.0						
PB.161551.19	Patient15	0	0	0	18	19	14	0	51	0	2573		19821.220365332298		6.0		5559.416261292564		12344.236204445102	SRSF6	0.0	294.0		0.17346938775510204	0.15151515151515152	2.093612720675438	1.3160714086620378	1.0	1.0	1.0	1.0	2.0	
PB.161551.19	Patient16	0	0	0	2	0	5	0	7	0	1271		5507.474429583005		17.0		5559.416261292564		12344.236204445102	SRSF6	0.0	54.0		0.12962962962962962	-1.0	0.0	0.0						
PB.161551.19	Patient17	0	0	0	1	2	2	0	5	0	1227		4074.9796251018743		20.0		5559.416261292564		12344.236204445102	SRSF6	0.0	25.0		0.2	0.0	0.0	0.0						
PB.161551.19	Patient18	0	0	0	2	5	4	0	11	0	1387		7930.785868781542		13.0		5559.416261292564		12344.236204445102	SRSF6	0.0	82.0		0.13414634146341464	0.1111111111111111	0.0	0.0						
PB.161551.19	Patient19	0	0	0	2	2	0	0	4	0	1548		2583.9793281653747		24.0		5559.416261292564		12344.236204445102	SRSF6	0.0	31.0		0.12903225806451613	1.0	0.0	0.0						
PB.161551.19	Patient2	0	0	0	3	1	4	0	8	0	1085		7373.271889400921		14.0		5559.416261292564		12344.236204445102	SRSF6	0.0	62.0		0.12903225806451613	-0.6	0.0	0.0						
