associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	CycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
HARS1	Patient19	419	582	340927.5834011391	375968.992248062	1229	1548	159	108	152	187	208	187	12.0	10.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	-0.16923076923076924	3.924570556147404	3.4351294168601725	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient2	145	71	113547.37666405638	65437.78801843317	1277	1085	49	47	49	24	28	19	31.0	31.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	-0.020833333333333332	0.38781273394688104	-0.3437040432007801						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient20	715	781	378707.6271186441	449367.08860759495	1888	1738	264	224	227	277	270	234	6.0	4.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	-0.0066518847006651885	0.16848217898959872	-0.5757289675215815						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient21	446	461	314749.47071277344	347138.5542168675	1417	1328	144	160	142	162	153	146	15.0	16.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.059602649006622516	1.4091423983848004	0.7741138184956241	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient22	394	738	322686.3226863227	350427.35042735044	1221	2106	135	138	121	273	234	231	14.0	15.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.06563706563706563	1.5087932638092336	0.8795322564925996	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient23	495	545	744360.9022556391	470232.9594477998	665	1159	153	180	162	193	162	190	1.0	3.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.05263157894736842	1.2720867875331396	0.6291257308040056						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient24	475	805	448536.35505193577	484647.80252859724	1059	1661	157	165	153	241	277	287	3.0	2.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.03773584905660377	0.8998936095614666	0.23539083158572077						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient25	354	738	258017.4927113703	379239.4655704008	1372	1946	122	113	119	227	263	248	25.0	9.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	-0.02586206896551724	0.5814951626135891	-0.13881170222068043						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient26	221	547	130769.23076923077	372362.15112321306	1690	1469	83	69	69	205	168	174	30.0	12.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.0	0.0	-0.7539625238862161						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient27	324	534	353326.0632497274	371091.03544127865	917	1439	103	121	100	180	171	183	8.0	13.0	310319.7674418605	347138.5542168675	317227.10950330645	326306.0749468037	0.09502262443438914	2.1224048021836373	1.5286582789996812	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
